hs6,chapter,heading,description
611239,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - mens or boys swimwear : -- of other textile materials"
611241,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - womens or girls swimwear : -- of synthetic fibres"
611249,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - womens or girls swimwear : -- of other textile materials"
611300,61,6113,"garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07."
611420,61,6114,"other garments, knitted or crocheted. - of cotton"
611430,61,6114,"other garments, knitted or crocheted. - of man-made fibres"
611490,61,6114,"other garments, knitted or crocheted. - of other textile materials"
611510,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - graduated compression hosiery (for example, stockings for varicose veins)"
611521,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other panty hose and tights : -- of synthetic fibres, measuring per single yarn less than 67 decitex"
611522,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other panty hose and tights : -- of synthetic fibres, measuring per single yarn 67 decitex or more"
611529,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other panty hose and tights : -- of other textile materials"
611530,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other womens full-length or knee-length hosiery, measuring per single yarn less than 67 decitex"
611594,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other : -- of wool or fine animal hair"
611595,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other : -- of cotton"
611596,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other : -- of synthetic fibres"
611599,61,6115,"panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted. - other : -- of other textile materials"
611610,61,6116,"gloves, mittens and mitts, knitted or crocheted. - impregnated, coated, covered or laminated with plastics or rubber"
611691,61,6116,"gloves, mittens and mitts, knitted or crocheted. - other : -- of wool or fine animal hair"
611692,61,6116,"gloves, mittens and mitts, knitted or crocheted. - other : -- of cotton"
611693,61,6116,"gloves, mittens and mitts, knitted or crocheted. - other : -- of synthetic fibres"
